"YEAR","START_DATE","END_DATE","AGE_GROUP","FINES","ARRESTS","CHARGES"
2023,"2023-07-01","2023-07-31","26-39",115,0,0
2023,"2023-07-01","2023-07-31","26-39",194,0,0
2023,"2023-07-01","2023-07-31","26-39",316,0,6
2023,"2023-07-01","2023-07-31","26-39",520,0,0
2023,"2023-07-01","2023-07-31","40-64",1,0,0
2023,"2023-07-01","2023-07-31","40-64",4,0,0
2023,"2023-07-01","2023-07-31","40-64",4,0,0
2023,"2023-07-01","2023-07-31","40-64",5,0,0
2023,"2023-07-01","2023-07-31","40-64",6,0,0
2023,"2023-07-01","2023-07-31","40-64",16,0,0
2023,"2023-07-01","2023-07-31","40-64",26,0,0
2023,"2023-07-01","2023-07-31","40-64",42,0,1
2023,"2023-07-01","2023-07-31","40-64",51,0,0
2023,"2023-07-01","2023-07-31","40-64",92,0,0
2023,"2023-07-01","2023-07-31","40-64",146,0,0
2023,"2023-07-01","2023-07-31","40-64",260,0,2
2023,"2023-07-01","2023-07-31","40-64",368,0,0
2023,"2023-07-01","2023-07-31","65 and over",1,0,0
2023,"2023-07-01","2023-07-31","65 and over",2,0,0
2023,"2023-07-01","2023-07-31","65 and over",4,0,0
2023,"2023-07-01","2023-07-31","65 and over",10,0,0
2023,"2023-07-01","2023-07-31","65 and over",11,0,0
2023,"2023-07-01","2023-07-31","65 and over",12,0,0
2023,"2023-07-01","2023-07-31","65 and over",18,0,0
2023,"2023-07-01","2023-07-31","65 and over",19,0,0
2023,"2023-07-01","2023-07-31","65 and over",55,0,0
2023,"2023-08-01","2023-08-31","0-16",0,0,0
2023,"2023-08-01","2023-08-31","0-16",1,0,1
2023,"2023-08-01","2023-08-31","0-16",2,0,0
2023,"2023-08-01","2023-08-31","17-25",1,0,0
2023,"2023-08-01","2023-08-31","17-25",2,1,1
2023,"2023-08-01","2023-08-31","17-25",4,0,0
2023,"2023-08-01","2023-08-31","17-25",5,0,0
2023,"2023-08-01","2023-08-31","17-25",9,0,0
2023,"2023-08-01","2023-08-31","17-25",11,0,0
2023,"2023-08-01","2023-08-31","17-25",29,0,1
2023,"2023-08-01","2023-08-31","17-25",35,0,2
2023,"2023-08-01","2023-08-31","17-25",36,0,0
2023,"2023-08-01","2023-08-31","17-25",48,0,0
2023,"2023-08-01","2023-08-31","17-25",108,0,0
2023,"2023-08-01","2023-08-31","17-25",246,0,0
2023,"2023-08-01","2023-08-31","17-25",298,0,2
2023,"2023-08-01","2023-08-31","26-39",1,0,0
2023,"2023-08-01","2023-08-31","26-39",4,0,0
2023,"2023-08-01","2023-08-31","26-39",6,0,0
2023,"2023-08-01","2023-08-31","26-39",8,0,0
2023,"2023-08-01","2023-08-31","26-39",11,0,0
2023,"2023-08-01","2023-08-31","26-39",12,0,0
2023,"2023-08-01","2023-08-31","26-39",28,0,0
2023,"2023-08-01","2023-08-31","26-39",39,0,0
2023,"2023-08-01","2023-08-31","26-39",55,0,2
2023,"2023-08-01","2023-08-31","26-39",72,0,0
2023,"2023-08-01","2023-08-31","26-39",107,0,0
2023,"2023-08-01","2023-08-31","26-39",187,0,0
2023,"2023-08-01","2023-08-31","26-39",298,0,8
2023,"2023-08-01","2023-08-31","26-39",686,0,0
2023,"2023-08-01","2023-08-31","40-64",1,0,0
2023,"2023-08-01","2023-08-31","40-64",4,0,0
2023,"2023-08-01","2023-08-31","40-64",6,0,0
2023,"2023-08-01","2023-08-31","40-64",7,0,0
2023,"2023-08-01","2023-08-31","40-64",10,0,0
2023,"2023-08-01","2023-08-31","40-64",16,0,0
2023,"2023-08-01","2023-08-31","40-64",22,0,0
2023,"2023-08-01","2023-08-31","40-64",33,0,0
2023,"2023-08-01","2023-08-31","40-64",35,0,0
2023,"2023-08-01","2023-08-31","40-64",57,0,0
2023,"2023-08-01","2023-08-31","40-64",96,0,0
2023,"2023-08-01","2023-08-31","40-64",148,0,0
2023,"2023-08-01","2023-08-31","40-64",227,0,3
2023,"2023-08-01","2023-08-31","40-64",546,0,0
2023,"2023-08-01","2023-08-31","65 and over",1,0,0
2023,"2023-08-01","2023-08-31","65 and over",2,0,0
2023,"2023-08-01","2023-08-31","65 and over",3,0,0
2023,"2023-08-01","2023-08-31","65 and over",3,0,0
2023,"2023-08-01","2023-08-31","65 and over",5,0,0
2023,"2023-08-01","2023-08-31","65 and over",7,0,0
2023,"2023-08-01","2023-08-31","65 and over",8,0,0
2023,"2023-08-01","2023-08-31","65 and over",14,0,0
2023,"2023-08-01","2023-08-31","65 and over",29,0,0
2023,"2023-08-01","2023-08-31","65 and over",51,0,0
2023,"2023-09-01","2023-09-30","0-16",0,0,0
2023,"2023-09-01","2023-09-30","0-16",1,0,0
2023,"2023-09-01","2023-09-30","17-25",1,0,0
2023,"2023-09-01","2023-09-30","17-25",1,0,0
2023,"2023-09-01","2023-09-30","17-25",4,0,0
2023,"2023-09-01","2023-09-30","17-25",5,0,0
2023,"2023-09-01","2023-09-30","17-25",12,0,0
2023,"2023-09-01","2023-09-30","17-25",12,0,0
2023,"2023-09-01","2023-09-30","17-25",21,0,0
2023,"2023-09-01","2023-09-30","17-25",30,0,0
2023,"2023-09-01","2023-09-30","17-25",35,0,0
2023,"2023-09-01","2023-09-30","17-25",42,0,0
2023,"2023-09-01","2023-09-30","17-25",107,0,0
2023,"2023-09-01","2023-09-30","17-25",256,0,0
2023,"2023-09-01","2023-09-30","17-25",257,0,5
2023,"2023-09-01","2023-09-30","26-39",6,0,0
2023,"2023-09-01","2023-09-30","26-39",6,0,0
2023,"2023-09-01","2023-09-30","26-39",8,0,0
2023,"2023-09-01","2023-09-30","26-39",10,0,0
2023,"2023-09-01","2023-09-30","26-39",13,0,0
2023,"2023-09-01","2023-09-30","26-39",38,0,0
2023,"2023-09-01","2023-09-30","26-39",44,0,2
2023,"2023-09-01","2023-09-30","26-39",55,0,1
2023,"2023-09-01","2023-09-30","26-39",64,0,0
2023,"2023-09-01","2023-09-30","26-39",65,0,0
2023,"2023-09-01","2023-09-30","26-39",178,0,0
2023,"2023-09-01","2023-09-30","26-39",290,0,12
2023,"2023-09-01","2023-09-30","26-39",608,0,0
2023,"2023-09-01","2023-09-30","40-64",2,0,0
2023,"2023-09-01","2023-09-30","40-64",2,0,0
2023,"2023-09-01","2023-09-30","40-64",9,0,0
2023,"2023-09-01","2023-09-30","40-64",10,0,0
2023,"2023-09-01","2023-09-30","40-64",11,0,0
2023,"2023-09-01","2023-09-30","40-64",32,0,0
2023,"2023-09-01","2023-09-30","40-64",36,0,0
2023,"2023-09-01","2023-09-30","40-64",43,0,5
2023,"2023-09-01","2023-09-30","40-64",54,0,0
2023,"2023-09-01","2023-09-30","40-64",65,0,0
2023,"2023-09-01","2023-09-30","40-64",171,0,0
2023,"2023-09-01","2023-09-30","40-64",195,0,4
2023,"2023-09-01","2023-09-30","40-64",412,0,0
2023,"2023-09-01","2023-09-30","65 and over",1,0,0
2023,"2023-09-01","2023-09-30","65 and over",1,0,0
2023,"2023-09-01","2023-09-30","65 and over",1,0,0
2023,"2023-09-01","2023-09-30","65 and over",4,0,0
2023,"2023-09-01","2023-09-30","65 and over",5,0,0
2023,"2023-09-01","2023-09-30","65 and over",5,0,0
2023,"2023-09-01","2023-09-30","65 and over",6,0,0
2023,"2023-09-01","2023-09-30","65 and over",7,0,0
2023,"2023-09-01","2023-09-30","65 and over",12,0,0
2023,"2023-09-01","2023-09-30","65 and over",19,0,0
2023,"2023-09-01","2023-09-30","65 and over",37,0,0
2023,"2023-09-01","2023-09-30","65 and over",47,0,0
2023,"2023-10-01","2023-10-31","0-16",0,0,0
2023,"2023-10-01","2023-10-31","0-16",1,0,0
2023,"2023-10-01","2023-10-31","0-16",1,0,0
2023,"2023-10-01","2023-10-31","17-25",2,0,0
2023,"2023-10-01","2023-10-31","17-25",4,0,0
2023,"2023-10-01","2023-10-31","17-25",5,0,1
2023,"2023-10-01","2023-10-31","17-25",8,0,0
2023,"2023-10-01","2023-10-31","17-25",10,0,0
2023,"2023-10-01","2023-10-31","17-25",27,0,0
2023,"2023-10-01","2023-10-31","17-25",35,0,1
2023,"2023-10-01","2023-10-31","17-25",37,0,0
2023,"2023-10-01","2023-10-31","17-25",38,0,0
2023,"2023-10-01","2023-10-31","17-25",49,0,1
2023,"2023-10-01","2023-10-31","17-25",52,0,0
2023,"2023-10-01","2023-10-31","17-25",117,0,0
2023,"2023-10-01","2023-10-31","17-25",228,0,0
2023,"2023-10-01","2023-10-31","17-25",261,0,0
2023,"2023-10-01","2023-10-31","17-25",264,0,1
2023,"2023-10-01","2023-10-31","26-39",1,0,0
2023,"2023-10-01","2023-10-31","26-39",2,0,0
2023,"2023-10-01","2023-10-31","26-39",3,0,0
2023,"2023-10-01","2023-10-31","26-39",4,0,0
2023,"2023-10-01","2023-10-31","26-39",6,0,0
2023,"2023-10-01","2023-10-31","26-39",7,0,0
2023,"2023-10-01","2023-10-31","26-39",8,0,0
2023,"2023-10-01","2023-10-31","26-39",12,0,0
2023,"2023-10-01","2023-10-31","26-39",15,0,0
2023,"2023-10-01","2023-10-31","26-39",41,0,0
2023,"2023-10-01","2023-10-31","26-39",62,0,1
2023,"2023-10-01","2023-10-31","26-39",87,0,0
2023,"2023-10-01","2023-10-31","26-39",92,0,0
2023,"2023-10-01","2023-10-31","26-39",123,0,0
2023,"2023-10-01","2023-10-31","26-39",155,0,0
2023,"2023-10-01","2023-10-31","26-39",169,0,0
2023,"2023-10-01","2023-10-31","26-39",336,0,7
2023,"2023-10-01","2023-10-31","26-39",565,0,0
2023,"2023-10-01","2023-10-31","26-39",1466,0,0
2023,"2023-10-01","2023-10-31","40-64",1,0,0
2023,"2023-10-01","2023-10-31","40-64",5,0,0
2023,"2023-10-01","2023-10-31","40-64",5,0,0
2023,"2023-10-01","2023-10-31","40-64",9,0,0
2023,"2023-10-01","2023-10-31","40-64",18,0,0
