"YEAR","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2023,"mobile_phone_use","Police issued",0,0,0
2023,"mobile_phone_use","Police issued",0,0,1
2023,"mobile_phone_use","Police issued",0,0,1
2023,"mobile_phone_use","Police issued",0,0,2
2023,"mobile_phone_use","Police issued",0,1,1
2023,"mobile_phone_use","Police issued",1,0,0
2023,"mobile_phone_use","Police issued",1,0,0
2023,"mobile_phone_use","Police issued",1,0,1
2023,"mobile_phone_use","Police issued",1,0,0
2023,"mobile_phone_use","Police issued",1,0,1
2023,"mobile_phone_use","Police issued",1,1,1
2023,"mobile_phone_use","Police issued",2,0,0
2023,"mobile_phone_use","Police issued",2,0,0
2023,"mobile_phone_use","Police issued",2,0,0
2023,"mobile_phone_use","Police issued",2,1,1
2023,"mobile_phone_use","Police issued",3,0,0
2023,"mobile_phone_use","Police issued",3,0,0
2023,"mobile_phone_use","Police issued",3,0,0
2023,"mobile_phone_use","Police issued",4,0,0
2023,"mobile_phone_use","Police issued",4,0,0
2023,"mobile_phone_use","Police issued",4,0,1
2023,"mobile_phone_use","Police issued",4,0,0
2023,"mobile_phone_use","Police issued",4,0,1
2023,"mobile_phone_use","Police issued",5,0,0
2023,"mobile_phone_use","Police issued",5,0,0
2023,"mobile_phone_use","Police issued",5,0,0
2023,"mobile_phone_use","Police issued",5,0,1
2023,"mobile_phone_use","Police issued",6,0,0
2023,"mobile_phone_use","Police issued",6,0,0
2023,"mobile_phone_use","Police issued",6,0,1
2023,"mobile_phone_use","Police issued",6,0,0
2023,"mobile_phone_use","Police issued",6,0,1
2023,"mobile_phone_use","Police issued",7,0,0
2023,"mobile_phone_use","Police issued",7,0,0
2023,"mobile_phone_use","Police issued",7,0,0
2023,"mobile_phone_use","Police issued",7,1,1
2023,"mobile_phone_use","Police issued",8,0,0
2023,"mobile_phone_use","Police issued",8,0,0
2023,"mobile_phone_use","Police issued",8,0,0
2023,"mobile_phone_use","Police issued",9,0,0
2023,"mobile_phone_use","Police issued",9,0,0
2023,"mobile_phone_use","Police issued",9,0,0
2023,"mobile_phone_use","Police issued",10,0,0
2023,"mobile_phone_use","Police issued",10,0,0
2023,"mobile_phone_use","Police issued",10,0,0
2023,"mobile_phone_use","Police issued",11,0,0
2023,"mobile_phone_use","Police issued",11,0,0
2023,"mobile_phone_use","Police issued",11,0,0
2023,"mobile_phone_use","Police issued",12,0,0
2023,"mobile_phone_use","Police issued",12,0,0
2023,"mobile_phone_use","Police issued",12,0,1
2023,"mobile_phone_use","Police issued",13,0,0
2023,"mobile_phone_use","Police issued",13,0,0
2023,"mobile_phone_use","Police issued",13,0,1
2023,"mobile_phone_use","Police issued",14,0,0
2023,"mobile_phone_use","Police issued",14,0,0
2023,"mobile_phone_use","Police issued",15,0,0
2023,"mobile_phone_use","Police issued",15,0,0
2023,"mobile_phone_use","Police issued",16,0,0
2023,"mobile_phone_use","Police issued",17,0,0
2023,"mobile_phone_use","Police issued",18,0,0
2023,"mobile_phone_use","Police issued",19,0,0
2023,"mobile_phone_use","Police issued",19,0,0
2023,"mobile_phone_use","Police issued",20,0,0
2023,"mobile_phone_use","Police issued",21,0,0
2023,"mobile_phone_use","Police issued",21,0,0
2023,"mobile_phone_use","Police issued",22,0,0
2023,"mobile_phone_use","Police issued",23,0,0
2023,"mobile_phone_use","Police issued",24,0,0
2023,"mobile_phone_use","Police issued",24,0,0
2023,"mobile_phone_use","Police issued",25,0,0
2023,"mobile_phone_use","Police issued",26,0,0
2023,"mobile_phone_use","Police issued",26,0,0
2023,"mobile_phone_use","Police issued",26,0,1
2023,"mobile_phone_use","Police issued",27,0,0
2023,"mobile_phone_use","Police issued",28,0,0
2023,"mobile_phone_use","Police issued",28,0,0
2023,"mobile_phone_use","Police issued",28,0,1
