"YEAR","AGE_GROUP","FINES","ARRESTS","CHARGES"
2023,"26-39",7,14,30
2023,"26-39",8,0,0
2023,"26-39",8,0,0
2023,"26-39",8,0,2
2023,"26-39",8,0,80
2023,"26-39",8,0,0
2023,"26-39",8,9,32
2023,"26-39",8,11,28
2023,"26-39",8,15,46
2023,"26-39",9,0,0
2023,"26-39",9,0,0
2023,"26-39",9,0,1
2023,"26-39",9,0,0
2023,"26-39",9,10,30
2023,"26-39",10,0,0
2023,"26-39",10,0,0
2023,"26-39",10,0,30
2023,"26-39",10,0,36
2023,"26-39",10,0,0
2023,"26-39",10,15,69
2023,"26-39",11,0,0
2023,"26-39",11,0,0
2023,"26-39",11,0,0
2023,"26-39",11,3,19
2023,"26-39",11,12,26
2023,"26-39",12,0,0
2023,"26-39",12,0,0
2023,"26-39",12,0,59
2023,"26-39",12,0,79
2023,"26-39",12,0,1
2023,"26-39",12,8,30
2023,"26-39",13,0,0
2023,"26-39",13,0,0
2023,"26-39",13,0,1
2023,"26-39",13,0,2
2023,"26-39",13,0,74
2023,"26-39",13,0,77
2023,"26-39",13,10,53
2023,"26-39",13,16,94
2023,"26-39",14,0,0
2023,"26-39",14,0,2
2023,"26-39",14,0,59
2023,"26-39",14,0,68
2023,"26-39",14,11,43
2023,"26-39",15,0,0
2023,"26-39",15,16,41
2023,"26-39",15,16,46
2023,"26-39",15,21,49
2023,"26-39",16,0,0
2023,"26-39",16,0,81
2023,"26-39",17,0,0
2023,"26-39",17,0,3
2023,"26-39",17,16,48
2023,"26-39",18,0,0
2023,"26-39",18,0,2
2023,"26-39",18,2,11
2023,"26-39",18,9,48
2023,"26-39",19,0,0
2023,"26-39",19,0,0
2023,"26-39",19,0,69
2023,"26-39",20,0,0
2023,"26-39",20,0,1
2023,"26-39",20,0,74
2023,"26-39",20,11,65
2023,"26-39",21,0,0
2023,"26-39",21,0,0
2023,"26-39",21,0,59
2023,"26-39",21,0,81
2023,"26-39",21,9,46
2023,"26-39",22,0,0
2023,"26-39",22,0,0
2023,"26-39",22,0,16
2023,"26-39",22,1,10
2023,"26-39",23,0,0
2023,"26-39",24,0,0
2023,"26-39",24,0,0
2023,"26-39",24,0,2
2023,"26-39",25,0,0
2023,"26-39",25,0,2
2023,"26-39",25,0,80
2023,"26-39",25,1,9
2023,"26-39",25,1,10
2023,"26-39",25,1,13
2023,"26-39",26,0,0
2023,"26-39",26,0,0
2023,"26-39",26,0,3
2023,"26-39",26,19,68
2023,"26-39",27,0,72
2023,"26-39",28,0,0
2023,"26-39",28,3,10
2023,"26-39",29,0,0
2023,"26-39",29,0,0
2023,"26-39",29,0,1
2023,"26-39",30,0,0
2023,"26-39",30,0,71
2023,"26-39",31,0,3
2023,"26-39",31,1,17
2023,"26-39",32,0,1
2023,"26-39",33,0,0
2023,"26-39",34,0,1
2023,"26-39",34,0,86
2023,"26-39",34,5,11
2023,"26-39",36,0,0
2023,"26-39",36,0,0
2023,"26-39",37,0,102
2023,"26-39",38,0,0
2023,"26-39",38,0,1
2023,"26-39",39,0,0
2023,"26-39",39,4,23
2023,"26-39",40,2,11
2023,"26-39",41,0,0
2023,"26-39",41,0,1
2023,"26-39",42,0,0
2023,"26-39",42,1,13
2023,"26-39",43,0,0
2023,"26-39",43,0,4
2023,"26-39",44,0,0
2023,"26-39",44,0,2
2023,"26-39",45,0,0
2023,"26-39",46,0,2
2023,"26-39",47,0,0
2023,"26-39",47,0,2
2023,"26-39",48,0,0
2023,"26-39",48,0,0
2023,"26-39",48,0,1
2023,"26-39",49,0,0
2023,"26-39",51,0,1
2023,"26-39",51,106,623
2023,"26-39",52,0,0
2023,"26-39",53,0,0
2023,"26-39",54,0,0
2023,"26-39",54,0,0
2023,"26-39",54,0,1
2023,"26-39",54,0,2
2023,"26-39",55,0,0
2023,"26-39",55,0,0
2023,"26-39",55,0,1
2023,"26-39",55,0,2
2023,"26-39",55,0,186
2023,"26-39",56,0,0
2023,"26-39",56,0,280
2023,"26-39",57,0,0
2023,"26-39",57,0,0
2023,"26-39",57,0,1
2023,"26-39",58,96,514
2023,"26-39",59,0,0
2023,"26-39",60,0,0
2023,"26-39",61,0,0
2023,"26-39",61,0,1
2023,"26-39",62,0,0
2023,"26-39",62,0,1
2023,"26-39",63,0,0
2023,"26-39",63,0,4
2023,"26-39",63,70,522
2023,"26-39",64,0,0
2023,"26-39",64,71,540
2023,"26-39",64,93,537
2023,"26-39",65,0,0
2023,"26-39",65,0,0
2023,"26-39",66,0,0
2023,"26-39",67,0,0
2023,"26-39",67,0,0
2023,"26-39",68,0,1
2023,"26-39",68,0,273
2023,"26-39",68,75,532
2023,"26-39",69,0,0
2023,"26-39",69,0,0
2023,"26-39",69,0,2
2023,"26-39",69,88,543
2023,"26-39",70,0,1
2023,"26-39",70,0,277
2023,"26-39",71,0,0
2023,"26-39",71,0,0
2023,"26-39",72,0,0
2023,"26-39",73,0,0
2023,"26-39",73,3,7
2023,"26-39",74,0,0
2023,"26-39",74,0,302
2023,"26-39",75,0,0
2023,"26-39",76,0,0
2023,"26-39",77,0,0
2023,"26-39",78,0,0
2023,"26-39",78,0,3
2023,"26-39",78,1,11
2023,"26-39",78,92,570
2023,"26-39",81,0,0
2023,"26-39",82,0,0
2023,"26-39",82,0,0
2023,"26-39",82,0,243
2023,"26-39",82,80,590
2023,"26-39",83,0,0
2023,"26-39",84,0,0
2023,"26-39",84,0,4
2023,"26-39",84,0,265
2023,"26-39",85,0,0
2023,"26-39",85,0,286
2023,"26-39",85,97,504
2023,"26-39",86,0,0
2023,"26-39",87,0,0
2023,"26-39",88,0,1
2023,"26-39",89,0,1
2023,"26-39",90,0,0
2023,"26-39",92,0,0
2023,"26-39",93,0,0
2023,"26-39",93,0,0
2023,"26-39",93,77,522
2023,"26-39",94,0,0
2023,"26-39",94,0,2
2023,"26-39",94,0,280
2023,"26-39",95,0,0
2023,"26-39",95,1,7
2023,"26-39",96,0,0
2023,"26-39",97,0,292
2023,"26-39",98,0,0
